Index,processed_text
112,"ed shultz unable comprehend gun law might prevent gun violence , assume chicago useredshow bright"
113,userdeepakuniyal usercrackwit usernationalizer usersagarikaghose also include rss bjp also brain washing hitler .
114,worry bjp . rt usermoonsez hashtag fdi hashtag ?
115,"corruption charge level , salman khurshid want spill blood indian soldier body mutilate , condemn"
116,bjp demand special session parl meet give opinion different stage . hashtag bhagwat hashtag disciple .
117,court deny bail gujarat bjp mla jetha bharwad fire case
118,law subservient political calculation high command ! hashtag owaisi hashtag
119,admiral pak army time remind u of1000 yr islamic aggression say happen border stop .
120,"lady , hugh jackman fan . thank . happy"
121,chalta hain attitude must go . politics must also consider career option . yeh desh kisi ka baap ka maal nahin hain .
122,post new photo facebook
123,userdrkumarvishwas respect shriman appreciate bravery sacrifice nation . support taint bjp lie .
124,special report hashtag akbaruddin hashtag hashtag owaisi hashtag hate speech .
125,bjp ask boundary line pakistan define clearly . hashtag india hashtag
126,join bjp today . visit detail . good luck .
127,bjp ask indian government firm clear deal pakistan . hashtag defence hashtag
128,"social medium highlight frustration people . social medium , situation get bad . people come street ."
129,appeasement minority community vote . stop . even probably hate .
130,india great country . one shake . prayer thanks soldier stay awake sleep well . gud nite
131,sir would p . reaction hashtag pak army hashtag usernarendramodi
132,even count many innocent bharatiya hv murder pakistan many time govt control patience hashtag ind v pak hashtag
133,remedy type problem anywhere world feel free consult n see site cont number
134,"bjp pay deficit ? userdna train fare hike unacceptable , say bjp"
135,"hashtag loc hashtag bjp center would def go war pak , kargil fighting response backstabbers"
136,"great job , useraaronmeyer7 rest washington crew . bjp"
137,"inspire movie life pi , bjp produce movie life baj pai userfakingnews"
138,bjp chattisgarh rape grown ups understandable minor chhattisgarh bjp leader ! repeat sab pagal h
139,"owaisi mad . repeat shiv sena , rss , vhp illogical narrow mind freak . congress corrupt . repeat bjp stupid . ! repeat god . . ! plss ."
140,"condemn beast lawyer along beast delhi rapist , blame victim india rape case . go hell manohar lal sharma"
141,congrees option . repeat last . repeat letter write . send . repeat good manmohan . repeat hashtag theek hai hashtag . repeat
142,nation need grateful jawan bleed ensure u peaceful sleep ! hashtag india hashtag bjp hashtag rss hashtag hashtag kashmir hashtag
143,"good night world . repeat life way r treat funny . agree strong , yet , test yaar . repeat bye , hashtag ram ram hashtag"
144,dr . dinesh karia daily ! top story today via userbjpgujarat
145,know right bad cowardice confucius
146,post new photo facebook
147,mumbai bjp protest brutal killing soldier pakistan military number pm azad maidan . . rt
148,"take tough step pak , back bjp centre"
149,"usersuhelseth bjp , congress rss compete first prize pdc political dolt competition ? leave idiot kejriwal"
150,bjp question robert vadra land deal frisking indian airport ! bjp think win number default
151,big blow ktk bjp govt appointment upa lokayukta sc set aside appointment upa lokayukta ktk
152,"r love bird , r love vultures love animal . repeat"
153,"tomorrow number school alumni meet . repeat party gala , apun aala wink happy weekend note . repeat mu world , hashtag ram ram hashtag"
154,tire day . repeat tring tring help execute work well happy . repeat
155,bjp right flay govt response loc situation manish tewari tewari respond question regard bjp cri . repeat hashtag news hashtag
156,last word fdi retail say bjp
157,last word fdi retail say bjp bjp today say last word yet say fdi . repeat
158,"mt userrazer78 reason bjp get zero educate state like kerala , bengal tn etc people hv told bjp communal"
159,"stop deforestation tree felling , bjp govt encourage lpg every home ! people start use firewood congress govt ! really"
160,entire episode conspiracy hatch ap congress govment connivance bjp say hashtag owaisi hashtag bro asaduddin . rt jok usercymarose
161,"good see , lady anchor news channel come together n protest bjp leader ayanur manjunath idiotic comment ."
162,"shivsena , mn , ncp , congress , rpi bjp . repeat state india many active political party ? repeat"
163,"anyone join politics ? want make political debut election ? karnataka new party kjp , bsr congress offer ticket . bjp ."
164,"r patriot , r traitor , r owaisi"
165,follow cycle happy thnx isko bhoolne ka tension rehta hai tong userwhothecares userashithakur . pls amal karnaa
166,wish happy pongal press news
167,"number birth centenary hashtag swami vivekanand hashtag . hashtag bjp hashtag , hashtag gadkari hashtag hashtag narendra modi hashtag quote today ?"
168,break income tax dept summons bjp prez nitin gadkari appear date connection alleged tax evasion purti industry
169,congress minority vote bank pocket muslim fear life bjp power thanks number
170,late matany call mopa conspiracy goa . bjp govt pledge make dream goal turn tender mopa ?
171,bjp celebrate swami vivekanand 1 5 0 th birth anniversary . congress afraid muslim vote hashtag swami hashtag vivekanand hindu .
172,call right ideologue steer election bjp twts much shit believe . look rts tl
173,"people might agree , , , conchor bjp ? ? speak india politician legitimise corruption via useryoutube"
174,"chaos , hope come gujarat . repeat"
175,tv9 telangana bjp decide future strategy tv9 telangana bjp decide future strategy hashtag telangana hashtag
176,"bjp abides art number , quite literally . treat ram equally ! !"
177,dance troop feel cold ? juss askin
178,userurianhill old woman get attention porn star afraid mention ? ! repeat
179,still think congress bjp give india great future ! repeated vote aam aadmi party kejriwal
180,parrikar nonsense leader similar modi . best okay lead bjp juncture . modi parrikar could new advani atal bjp
181,bjp slam pm manmohan singh silence loc kill
182,people . need focus export rather import . lead job creation wealth .
183,income tax issue income tax notice bjp president nitin gadkari . bjp hashtag india hashtag
184,china 3 rd large exporter america number billion follow japan number b uk number . u import money billion number mths
185,india 1 8 th large exporter america last number month . canada 1 st number billion follow mexico number b .
186,pinch wink good rt userkaushkrahul nahi rt userashithakur gaye saare ?
187,wish happy makar sankranti may festival awesome burn moment sadness brings warmth joy happiness love .
188,life term userdsunilam hashtag ulta hashtag police firing attempt kill politically bt congress n bjp succeed . 2 4 farmer want justice
189,try rayban . rt userarvindkejriwal7 delhi police congress control . bangalore police bjp control . character .
190,garden bjp
191,delhi police congress control . bangalore police bjp control . character .
192,"saw table number , good movie , disturbing . repeat definitely kid"
193,"toi confuse bjp value modernity ? come , come . let u fret godmen . repeat"
194,"notice serve gadkari , bjp say bjp sunday strenuously deny chief nitin gadkari . repeat"
195,india defeat pak time congress government . war monger bjp never understand
196,hashtag sport pakistan hashtag till issue resolve . pl rt agree usersushmaswarajbjp usersardesairajdeep userbdutt userpmoindia god bless india .
197,"first , shadow cabinet india . thing transparent . usersushmaswarajbjp"
198,"hemraj head return , get number swaraj"
199,guy time say mess pakistan . hockey team must send back sport tie break till peace rein .
200,"india focus external issue , actually focus internally . imbibing patriotism single important thing"
201,always maintain need war pakistan . bring destruction country . usersushmaswarajbjp
202,bjp plea aire hurt christian sentiment
203,imagine morale indian army . protect u sleep peace . get kill nothing . usersushmaswarajbjp
204,damn cold !
205,bjp member hold anti cow slaughter law madhya pradesh hashtag rip bjp hashtag bjp
206,"problem country , national flower exploit bjp national animal die national fruit sex katrina"
207,ten head number . usersushmaswarajbjp please retweet make popular right topic . good night .
208,goa news bjp plea aire hurt christian sentiment
209,happy birthday big cuzzo usersagg2timez !
210,"useribnlive video peace pakistan possible , reply language understand bjp"
211,bjp co . oppose pakistani player bjp mp commentary panel ramiz raza wasim akram hashtag say hashtag
212,dissidence congress n audf ticket allocation . open rift agp n bjp . mean agp n bjp lose base grassroots ?
213,hashtag break hashtag pm manmohan singh admit hospital complaint heart pain today stern speech .
214,wow amazing . hope help put film hand userchoosefilm interesting product news bjp
215,"yayy . repeat god , r kind wink ek aur janbaaz khiladi sony max direct prabhudeva . repeat double yayy"
216,petrol go get costly another number paisa . repeat let u trend 3 5 paisa duty forget vote upa3
217,"bharatiya happy rt usersignwater like tweet love dp , get lose . proud indian . look like ."
218,"hero , spl south bharatiya . repeat actually embarrass superman , spiderman type super hero wink"
219,pm business usual pakistan business usual beheading number brave soldier ? hashtag india hashtag bjp hashtag rss hashtag
220,air jordan number breds size number money obo
221,"bjp leader yashwant sinha number pm long pm govt keep reach bjp others , speak one voice ."
222,hashtag nitish kumar hashtag govt fail protect nation honour bjp press trust india hashtag follow hashtag
223,narendra modi obama hving discussion bar . repeat guy walk asks dem wat discussion abut ? . repeat
224,bjp city chief mathkari hospitalise bjp city chief vikas mathkari monday afternoon admit icu . repeat
225,hashtag 1 tight slap hashtag bjp blabbermouth leader troll rant happy usergsurya userdrrajpurohit userkashyap1982 usercalmgalin
226,bjp president shri nitin gadkari share experience learning student guest lecture campus today .
227,minority communalism fuel majority communalism hashtag kerala hashtag . repeat cpm capitalise hindu communalism . repeat bjp
228,"rss protest arrest number sadhu banjara hill police station , pl join rt"
229,reality good dream . repeat hashtag pst hashtag
230,life funny n love serious . repeat hashtag pst hashtag
231,usernsjlz happy birthday red nose toby yung number year old happy birthday uncle bjp stop playing bring tht nigga crib !
232,kejriwal congress bjp perhaps common lotus hand poll symbol .
233,"cho want bjp number declare namo party pm candidate l k advani , declare modi prime ministerial candidate , say ."
234,"sony max par muqabla shuru . repeat achhee movie hai , insomniac good time pas wink"
235,"imagine election tomorrow modi bjp candidate look increase frequency piece . also , stats . opinion ."
236,truth congress !
237,give land build muslim university karnataka bjp
238,secular b rt userdrmchaturvedi userinternethindus demand loyalty . loyalty nation mean loyalty bjp modi bharatmata
239,bjp mumbai mla yogesh sagar gift computer top scoring student
240,headhuntress ambala ! sushmaa swaraj late ! repeat hashtag india hashtag hashtag pakistan hashtag hashtag war hashtag bjp hashtag rss hashtag congress hashtag loc hashtag
241,"narendra modi likely head bjp number poll campaign , say source"
242,"shri usernarendramodi ji welcome shri . pon . radhakrishnan ji , smt . vanathi srinivasan party office bearer userairport"
243,case jethmalani remark ram hashtag ram jethmalani hashtag bjp hashtag india hashtag
244,welcome shri . usernarendramodi ji chennai airport along state office bearer district president
245,retweet unhappy upa2 power delhi .
246,"good night world . repeat jao , , hashtag ram ram hashtag"
247,"dear bjp , please get new president urself good . repeat regard sympathizer"
248,best way woman heart say three word lose weight . tong
249,even mulayum seem good opposition bjp bsp cong combine rt userdrmanishkumar1 mulayam happy son govt . nonsense . ! repeat
250,power hitachi india
251,"log hari deshbhakta hindu narendra modi likely head bjp number poll campaign , say source . repeat"
252,"usern9gi8nt shout userohgidac30 hashtag oh gi hashtag gear . like userohgibjp say , fresh come ! laughter bjp coach shoop voice"
253,important reason success bjp rss vhp secularist continue oppose rely power state usermadhukishwar
254,"trust pranayam , cure even migraine rt userinsomniacgurl splitting headache ultimatum visit doc . run excuse"
255,"voter abhor political vacuum . want punish congress , many vote bjp . bjp performs badly number many vote"
256,"time , look eye slut ! . l ."
257,hashtag lance armstrong indian hashtag would leader bjp
258,jd ask bjp declare pm candidate number . hashtag pm hashtag bjp hashtag n da hashtag
259,"love neither create destroy , transfer ex next tong"
260,look like medium deliberately lie low wait gadkari become bjp president . attack begin .
261,usergreatbibleverse know god listen u whatever ask number john time please retweet . utter bollock
262,news hour suppose discuss problem arnabs ocd bjp hijack show laugh loud
263,congress ke haar sweekarne ke baad medium bjp ke peeche padi !
264,"ye lo , ek aur nikla ! mt userfirstpostin bjp nirmala sitharaman economic growth alone provide thing nation economy need ."
265,congress run away honest introspection bjp .
266,hashtag modi hashtag politics vision india . congress politics division .
267,"medium love play nitish factor whenever talk modi bjp truth without bjp , jdu even get number seat bihar ."
268,"narendra modi likely head bjp number poll campaign , say source"
269,billy toelke like farmer noida cheat bjp mla meerut property search last five year
270,current status bjp congress post pm candidate number .
271,rt userabhimanyutyagi current status bjp congress post pm candidate number .
272,bjp meet zaxbys number . repeat embassy time hashtag proverb 2717 hashtag night host usernealabamafca
273,bjp gujarat
274,"number bjp election lose ! screw time , forgive lifetime . memo bjp establishment ."
275,governance success v colossal failure empty suit shd bjp billing number election .
276,congress prepare generation next india bjp fight among next president .
277,nitin gadkari capable person lead bjp juncture . rest secret pact sonia co .
278,rahul gandhi candidate pm congress party modi candidate pm bjp . repeat natural similarity . bachelor
279,bjp elect party president corrupt . gadkari first case . congress
280,awkward moment bjp supporter party try declare pm candidate fight . congress
281,"congress win rahul pm hence vote u , effective election slogan bjp"
282,chintan shivir congress bjp chinta shivir . congress
283,bjp internet tv color . figurehead like street poster . horrible animated arrow . usernakulshenoy saar
284,"chintan shivir officious , pompous self important moniker ever come across . bjp"
285,userhafizsaeedjud hashtag pakistan hashtag raise hashtag shinde hashtag confession bjp hashtag rss hashtag terrorist camp hashtag unsc hashtag hashtag oic hashtag ? useramishra77
286,"bjp party future congress past use date . number , number happen bec lack good salesman champion bjp side ."
287,"congress peddle rss bjp outdated , terrorist line , rahul play reformer role ! congress script number !"
288,bjp shd make number much clash idea india future personality . pit namo strength v imposter prince !
289,bjp raise question rahul potential .
290,bjp hit back shinde saffron terror remark .
291,bjp jansampark yatra accuse benami asset number undermine goemkar set give gadkari purti fame number nd term nat l pres
292,one else praise congress congress
293,hashtag shinde hashtag call hashtag rss hashtag bjp hashtag vhp hashtag bhagwa terror meaning hinduutva hashtag terror hashtag low life cont
294,"hashtag inc hashtag nurture militant rightwing bjp hashtag rss hashtag hashtag hashtag hashtag vhp hashtag , pose gravest threat indian cont"
295,dear bjp rss . obvious love respect ! repeat pls sue shinde . unacceptable ! repeat piss !
296,many aicc member understand english rahul gandhi read raul vinci spoke ?
297,narendra modi strong reply congress fake secular sa . repeat via useryoutube
298,"overall achievement chintan shivir vp post aicc ghar ki dukan clown prince . repeat celebrate india , bharat ! repeat"
299,shinde comment rss bjp foreign minister pakistan try defend pak terrorism think sound india . jaichand
300,true patriot son bharat n italy britain rt usertajinderbagga exclusive pic netaji hashtag happy birthday netaji hashtag
301,birthday wish shri netaji subash chandra bose dob date india salute . usersushmaswarajbjp
302,nitin gadkari resign rajnath singh likely next bjp president
303,nitin gadkari resign rajnath singh likely next bjp president
304,thanku bhai . repeat movie lesson rt usertajinderbagga must watch video talk netaji gandhi
305,"bjp bunk salcete sampark yatra maybe number avoid mopa issue , congress south mp seem b govt job defend indefensible"
306,ladli laxmi original goa bjp scheme adopt another state ? mean b number educational empowerment girl child ? repeat
307,"salman khurshid threaten one activist cold blood , terrorist like tone , agree shinde comment . ulta chor kotwal daante"
308,"congress party support terrorist along bhindarawala , ltte , suharawardi , mopla rebel , call u terrorist ? repeat"
309,shat shat naman netaji subhash birthday . wish support u difficult time misrule devastation .
310,bjp congress playing dumb dumber . rajnath singh next bjp prez .
311,congress appoints rahul gandhi vp . bjp response rajnath singh . talk bring knife gun fight .
312,bjp chance throw young person . jaitley perhaps . back rajnath ? retrogade .
313,girl disrespect hair hashtag one hashtag
314,"sena back cop patil , claim hound munaf hakeem express india"
315,gadkariji sensuous hotpants pic present new president bjp . repeat lol laugh loud
316,bjp rajnath win number lok sabha poll raman hashtag news hashtag
317,"rt userchowind ndtv , bjp presidential election high drama . mom son hugging , shed tear , story ."
318,state congress agree mp airport stand state unit ? congress delegation call secy bjp cm speak number dem ?
319,"dear mr . jagadish shettar sorry put follow question , need answer responsible . repeat"
320,dear userbuzzindelhi bjp decide boycott sanjay nirupam ? exile know decision .
321,"rajnath singh bos , bjp pm nominee number ? time india"
322,"hashtag also news hashtag new chief , bjp put fight hold , plan number l poll hindustan time hashtag follow u hashtag"
323,"userjoeyfatts sub tweetin nigga like send nigga emoji , shit gay . fckn hate nigga use shit !"
324,rajnath singh restore . advani opinion regains respect . bjp one happy family ?
325,"anyone delhi , please guide bjp protest . userrahulparashar11 userhellogunj whre protest happening delhi ? join"
326,dear usersmritiirani bjp boycott sanjay nirupam ? still spokesperson attend debate .
327,comment rajnath singh know difference democracy hue bjp iron shut dynastic congress ! hashtag choose hashtag
328,disillusion bjp bjp politics suddenly .
329,bjp thrives hindutva dismal presence hindi heartland .
