datetime,Retweets,Likes,bertweet_score,cardiff_score,vader_score,
14-01-2013 14:24,0,0,0.028329194,0.171038359,0.4742,
14-01-2013 16:48,2,0,0.552984085,0.57983616,0.436,
14-01-2013 19:12,0,0,0.674782485,0.62387763,0.92195,
14-01-2013 21:36,40,4,0.467430182,0.494468778,0.78595,
15-01-2013 00:00,0,0,0.700507313,0.538744509,0.7202,
15-01-2013 02:24,3,0,0.011248529,0.038764864,0.08025,
15-01-2013 04:48,1,0,0.012420446,0.061981231,0.0153,
15-01-2013 07:12,0,0,0.525200555,0.560604729,0.5,
15-01-2013 09:36,0,0,0.728536963,0.909033298,0.96155,
15-01-2013 12:00,0,0,0.017066598,0.073999524,0.22885,
15-01-2013 14:24,0,0,0.542458076,0.548892409,0.6357,
15-01-2013 16:48,0,0,0.051915467,0.161773771,0.14115,
15-01-2013 19:12,5,1,0.016523123,0.116365045,0.05965,
15-01-2013 21:36,0,11,0.994351178,0.967571825,0.81245,
16-01-2013 00:00,1,0,0.510325335,0.460955016,0.29905,
16-01-2013 02:24,6,1,0.533948027,0.316604257,0.69935,
16-01-2013 04:48,5,2,0.476165935,0.432388254,0.8294,
16-01-2013 07:12,0,0,0.979291111,0.915281206,0.9088,
16-01-2013 09:36,0,0,0.534420375,0.517185487,0.83835,
16-01-2013 12:00,0,0,0.504165736,0.453133836,0.82985,
16-01-2013 14:24,0,0,0.103905499,0.272252455,0.6806,
16-01-2013 16:48,0,0,0.502234999,0.4234377,0.5,
16-01-2013 19:12,0,0,0.500127431,0.476301398,0.5,
16-01-2013 21:36,0,0,0.897370487,0.80281809,0.88585,
17-01-2013 00:00,0,0,0.518972397,0.907109529,0.9531,
17-01-2013 02:24,3,0,0.273101568,0.206534922,0.5,
17-01-2013 04:48,0,0,0.076129198,0.367540643,0.5,
17-01-2013 07:12,0,0,0.519132067,0.421114862,0.5,
17-01-2013 09:36,1,0,0.46653093,0.388650678,0.23665,
17-01-2013 12:00,0,0,0.869139254,0.873071104,0.70095,
17-01-2013 14:24,2,0,0.503783928,0.664117828,0.78595,
17-01-2013 16:48,1,0,0.498288076,0.364610672,0.39885,
17-01-2013 19:12,0,0,0.490308397,0.396605663,0.5,
17-01-2013 21:36,0,0,0.561903652,0.587695464,0.7962,
18-01-2013 00:00,0,1,0.986700505,0.948361784,0.8753,
18-01-2013 02:24,0,0,0.306862727,0.284184575,0.5,
18-01-2013 04:48,11,0,0.406670652,0.332021847,0.5,
18-01-2013 07:12,0,0,0.50728034,0.451355033,0.5,
18-01-2013 09:36,0,0,0.027401119,0.226077944,0.71645,
18-01-2013 12:00,0,0,0.489739619,0.451092422,0.33,
18-01-2013 14:24,0,0,0.506579397,0.494492706,0.5386,
18-01-2013 16:48,0,0,0.046681523,0.166127831,0.5,
18-01-2013 19:12,3,1,0.986326784,0.918977916,0.89795,
18-01-2013 21:36,0,0,0.059321046,0.104206055,0.2213,
19-01-2013 00:00,0,0,0.494953564,0.453564499,0.5,
19-01-2013 02:24,1,0,0.507883396,0.536194913,0.61315,
19-01-2013 04:48,2,1,0.501240448,0.508603437,0.648,
19-01-2013 07:12,0,1,0.552625962,0.667949721,0.8243,
19-01-2013 09:36,12,1,0.05928129,0.195337266,0.4742,
19-01-2013 12:00,0,0,0.028834045,0.200411528,0.0963,
19-01-2013 14:24,1,0,0.08193326,0.500638254,0.76335,
19-01-2013 16:48,213,84,0.502172022,0.424426988,0.5,
19-01-2013 19:12,1,0,0.506324979,0.444492433,0.5,
19-01-2013 21:36,0,0,0.628386259,0.792796314,0.6909,
20-01-2013 00:00,1,0,0.527461242,0.46865863,0.5,
20-01-2013 02:24,1,0,0.321565285,0.294644177,0.564,
20-01-2013 04:48,0,0,0.791763484,0.648899764,0.7202,
20-01-2013 07:12,2,4,0.99025324,0.979299873,0.9893,
20-01-2013 09:36,0,0,0.479649499,0.328673482,0.33,
20-01-2013 12:00,0,0,0.020230621,0.118124336,0.2713,
20-01-2013 14:24,0,1,0.993943065,0.991909981,0.8057,
20-01-2013 16:48,4,1,0.029008865,0.093500078,0.10775,
20-01-2013 19:12,0,0,0.506101727,0.50395667,0.5386,
20-01-2013 21:36,0,0,0.43001461,0.28690435,0.3409,
21-01-2013 00:00,0,0,0.149152994,0.103143036,0.23665,
21-01-2013 02:24,0,0,0.295976937,0.135496855,0.23665,
21-01-2013 04:48,0,1,0.022699356,0.03710562,0.1047,
21-01-2013 07:12,0,0,0.221700132,0.40178141,0.625,
21-01-2013 09:36,0,0,0.014597565,0.115234107,0.08875,
21-01-2013 12:00,0,0,0.606319621,0.560264137,0.5,
21-01-2013 14:24,0,0,0.384118609,0.438711122,0.55135,
21-01-2013 16:48,2,0,0.963087797,0.803699583,0.9201,
21-01-2013 19:12,0,0,0.774467885,0.866510808,0.9037,
21-01-2013 21:36,0,0,0.619853757,0.505919203,0.60115,
22-01-2013 00:00,1,0,0.992521048,0.975029826,0.9795,
22-01-2013 02:24,0,0,0.079475701,0.388299331,0.86345,
22-01-2013 04:48,6,4,0.478878058,0.239568174,0.5,
22-01-2013 07:12,0,0,0.032765776,0.229732841,0.78595,
22-01-2013 09:36,0,0,0.517591292,0.524377678,0.55135,
22-01-2013 12:00,0,0,0.66579321,0.587815709,0.77115,
22-01-2013 14:24,1,1,0.107270151,0.282921091,0.29905,
22-01-2013 16:48,0,0,0.507088106,0.423462056,0.5,
22-01-2013 19:12,0,0,0.35335274,0.428104162,0.375,
22-01-2013 21:36,0,0,0.445098162,0.380536467,0.564,
23-01-2013 00:00,0,0,0.974102467,0.534212481,0.83525,
23-01-2013 02:24,0,0,0.638420627,0.359039962,0.936,
23-01-2013 04:48,0,0,0.659912288,0.909907848,0.96155,
23-01-2013 07:12,0,0,0.516711541,0.486142918,0.57655,
23-01-2013 09:36,0,0,0.520079767,0.461080976,0.60115,
23-01-2013 12:00,2,0,0.512969425,0.455128845,0.8715,
23-01-2013 14:24,0,0,0.522041537,0.50441896,0.6591,
23-01-2013 16:48,4,1,0.506903049,0.456883989,0.38685,
23-01-2013 19:12,0,0,0.624842271,0.561622337,0.78595,
23-01-2013 21:36,1,0,0.520788221,0.518924348,0.6901,
24-01-2013 00:00,0,1,0.534282353,0.510235704,0.648,
24-01-2013 02:24,4,1,0.500232967,0.290759638,0.5,
24-01-2013 04:48,2,1,0.519183058,0.429859713,0.5,
24-01-2013 07:12,2,0,0.510284906,0.487791404,0.74695,
24-01-2013 09:36,0,0,0.94399479,0.833534896,0.7202,
24-01-2013 12:00,0,0,0.962907553,0.910811245,0.7997,
24-01-2013 14:24,0,0,0.989806235,0.939928085,0.88915,
24-01-2013 16:48,1,2,0.107198119,0.371371672,0.7202,
24-01-2013 19:12,0,0,0.977761835,0.895467937,0.91105,
24-01-2013 21:36,0,0,0.736481786,0.468654785,0.9375,
25-01-2013 00:00,12,0,0.013669163,0.472115181,0.28925,
25-01-2013 02:24,0,0,0.593553208,0.503130797,0.83525,
25-01-2013 04:48,3,3,0.984416127,0.695758566,0.7294,
